subset,k,aic
"('OMCLag1', 'VolumeLag2', 'CloseEMA4')",3,5482.62222286717
"('OMCLag1', 'VolumeLag1', 'CloseEMA8')",3,5482.622897697238
"('CloseLag3', 'OMCLag1', 'VolumeLag2')",3,5482.623885522676
"('HMLLag3', 'OMCLag2', 'VolumeLag3')",3,5482.627348669538
"('OMCLag1', 'VolumeLag2', 'CloseEMA8')",3,5482.627679651012
"('OMCLag1', 'OMCLag2', 'VolumeLag3')",3,5482.62768656325
"('CloseLag3', 'OMCLag1', 'OMCLag2')",3,5482.627863423208
"('CloseLag2', 'OMCLag2', 'CloseEMA8')",3,5482.628111354642
"('OMCLag1', 'OMCLag2', 'CloseEMA2')",3,5482.628154551544
"('CloseLag1', 'OMCLag1', 'OMCLag2')",3,5482.628186375091
"('OMCLag1', 'OMCLag2', 'CloseEMA4')",3,5482.628360014426
"('CloseLag2', 'OMCLag1', 'OMCLag2')",3,5482.6284820710225
"('HMLLag2', 'HMLLag3', 'OMCLag2')",3,5482.628539508296
"('HMLLag1', 'HMLLag3', 'OMCLag2')",3,5482.628588145104
"('CloseLag3', 'CloseEMA2', 'CloseEMA8')",3,5482.62861763979
"('OMCLag1', 'OMCLag2', 'CloseEMA8')",3,5482.628717952122
"('HMLLag2', 'OMCLag2', 'OMCLag3')",3,5482.636143197669
"('CloseLag3', 'OMCLag2', 'CloseEMA2')",3,5482.637115578
"('CloseLag3', 'CloseEMA2', 'CloseEMA4')",3,5482.6393990876595
"('OMCLag2', 'CloseEMA2', 'CloseEMA8')",3,5482.643795068967
"('HMLLag1', 'OMCLag2', 'OMCLag3')",3,5482.643920751762
"('HMLLag1', 'HMLLag2', 'OMCLag2')",3,5482.645842857701
"('HMLLag2', 'OMCLag2', 'VolumeLag3')",3,5482.646393508044
"('CloseLag2', 'HMLLag3', 'CloseEMA8')",3,5482.649723330958
"('HMLLag1', 'OMCLag2', 'VolumeLag3')",3,5482.6538496485555
"('CloseLag3', 'CloseEMA4', 'CloseEMA8')",3,5482.654898936816
"('HMLLag3', 'CloseEMA4', 'CloseEMA8')",3,5482.658305516179
"('CloseLag2', 'VolumeLag1', 'CloseEMA4')",3,5482.658782167229
"('CloseLag1', 'OMCLag2', 'CloseEMA8')",3,5482.662082568482
"('CloseLag2', 'VolumeLag2', 'CloseEMA4')",3,5482.664290564673
"('CloseLag2', 'VolumeLag1', 'VolumeLag2')",3,5482.66525650623
"('VolumeLag1', 'VolumeLag2', 'CloseEMA2')",3,5482.665578121404
"('CloseLag1', 'VolumeLag1', 'VolumeLag2')",3,5482.666481441427
"('CloseLag3', 'VolumeLag1', 'VolumeLag2')",3,5482.667260615997
"('VolumeLag1', 'VolumeLag2', 'CloseEMA4')",3,5482.668088526941
"('CloseLag1', 'VolumeLag1', 'CloseEMA4')",3,5482.669687231481
"('HMLLag3', 'CloseEMA2', 'CloseEMA8')",3,5482.672286571636
"('VolumeLag1', 'VolumeLag2', 'CloseEMA8')",3,5482.672919004168
"('OMCLag2', 'CloseEMA2', 'CloseEMA4')",3,5482.673730731933
"('OMCLag2', 'OMCLag3', 'VolumeLag3')",3,5482.675832657934
"('CloseLag2', 'CloseLag3', 'VolumeLag1')",3,5482.67621464154
"('CloseLag2', 'OMCLag3', 'VolumeLag1')",3,5482.677710105994
"('CloseLag1', 'VolumeLag2', 'CloseEMA4')",3,5482.677874687724
"('OMCLag3', 'VolumeLag1', 'CloseEMA2')",3,5482.6779538821365
"('CloseLag3', 'OMCLag2', 'OMCLag3')",3,5482.678631727237
"('CloseLag1', 'OMCLag3', 'VolumeLag1')",3,5482.678855662945
"('CloseLag2', 'OMCLag2', 'OMCLag3')",3,5482.678979821956
"('OMCLag2', 'OMCLag3', 'CloseEMA2')",3,5482.678988302832
"('OMCLag2', 'OMCLag3', 'CloseEMA4')",3,5482.679029607884
"('CloseLag1', 'OMCLag2', 'OMCLag3')",3,5482.679031971742
"('OMCLag2', 'OMCLag3', 'CloseEMA8')",3,5482.679137924417
"('OMCLag1', 'CloseEMA2', 'CloseEMA4')",3,5482.679528026827
"('CloseLag3', 'OMCLag3', 'VolumeLag1')",3,5482.679597469796
"('OMCLag3', 'VolumeLag1', 'CloseEMA4')",3,5482.680148921843
"('CloseLag3', 'OMCLag2', 'VolumeLag3')",3,5482.680343731487
"('CloseLag1', 'VolumeLag1', 'CloseEMA2')",3,5482.681001448014
"('CloseLag2', 'CloseEMA2', 'CloseEMA8')",3,5482.681402577204
"('CloseLag2', 'OMCLag2', 'VolumeLag3')",3,5482.6816408873965
"('OMCLag2', 'VolumeLag3', 'CloseEMA2')",3,5482.681677116219
"('CloseLag1', 'CloseLag2', 'VolumeLag1')",3,5482.6817693540215
"('CloseLag1', 'OMCLag2', 'VolumeLag3')",3,5482.6818453144115
"('OMCLag2', 'VolumeLag3', 'CloseEMA4')",3,5482.68188891554
"('CloseLag3', 'VolumeLag1', 'CloseEMA2')",3,5482.682270308736
"('OMCLag2', 'VolumeLag3', 'CloseEMA8')",3,5482.682456276136
"('CloseLag2', 'HMLLag1', 'CloseEMA8')",3,5482.682504272245
"('CloseLag2', 'OMCLag2', 'CloseEMA4')",3,5482.6833254726735
"('CloseLag2', 'CloseEMA2', 'CloseEMA4')",3,5482.6837064222655
"('CloseLag2', 'CloseLag3', 'VolumeLag2')",3,5482.683717173222
"('CloseLag2', 'VolumeLag1', 'CloseEMA2')",3,5482.684251670817
"('OMCLag3', 'VolumeLag1', 'CloseEMA8')",3,5482.68433543784
"('CloseLag1', 'CloseLag3', 'VolumeLag1')",3,5482.684937235303
"('CloseLag2', 'OMCLag3', 'VolumeLag2')",3,5482.6850687586975
"('CloseLag3', 'VolumeLag1', 'CloseEMA4')",3,5482.685377702217
"('OMCLag3', 'VolumeLag2', 'CloseEMA2')",3,5482.685425628475
"('CloseLag1', 'OMCLag2', 'CloseEMA2')",3,5482.685427092846
"('CloseLag1', 'OMCLag3', 'VolumeLag2')",3,5482.686320980303
"('CloseLag1', 'CloseLag2', 'OMCLag2')",3,5482.686519587076
"('CloseLag3', 'OMCLag3', 'VolumeLag2')",3,5482.686897093793
"('OMCLag3', 'VolumeLag2', 'CloseEMA4')",3,5482.687557931475
"('CloseLag1', 'VolumeLag2', 'CloseEMA2')",3,5482.688235788002
"('CloseLag1', 'CloseLag2', 'VolumeLag2')",3,5482.6882696269
"('CloseLag1', 'OMCLag2', 'CloseEMA4')",3,5482.688542716411
"('CloseLag2', 'OMCLag2', 'CloseEMA2')",3,5482.688750236432
"('CloseLag2', 'HMLLag2', 'CloseEMA8')",3,5482.689252632199
"('CloseLag3', 'VolumeLag2', 'CloseEMA2')",3,5482.690034067441
"('CloseLag2', 'CloseEMA4', 'CloseEMA8')",3,5482.691223982491
"('CloseLag2', 'VolumeLag2', 'CloseEMA2')",3,5482.691341883034
"('OMCLag3', 'VolumeLag2', 'CloseEMA8')",3,5482.691664954157
"('CloseLag3', 'VolumeLag2', 'CloseEMA4')",3,5482.692174025687
"('CloseLag1', 'CloseLag3', 'VolumeLag2')",3,5482.692435654188
"('HMLLag1', 'CloseEMA4', 'CloseEMA8')",3,5482.701780720041
"('HMLLag3', 'CloseEMA2', 'CloseEMA4')",3,5482.702830407796
"('CloseLag1', 'HMLLag3', 'CloseEMA8')",3,5482.703270602123
"('HMLLag2', 'CloseEMA4', 'CloseEMA8')",3,5482.704099597538
"('HMLLag3', 'OMCLag1', 'CloseEMA2')",3,5482.704677394985
"('CloseLag1', 'HMLLag3', 'OMCLag1')",3,5482.705286765027
"('HMLLag3', 'OMCLag1', 'CloseEMA4')",3,5482.708782084996
"('CloseLag2', 'HMLLag3', 'OMCLag1')",3,5482.708856893632
"('CloseLag3', 'HMLLag3', 'OMCLag1')",3,5482.7108626900645
"('CloseLag3', 'HMLLag3', 'CloseEMA8')",3,5482.711524395495
"('OMCLag1', 'OMCLag3', 'VolumeLag1')",3,5482.7138210278445
"('HMLLag3', 'OMCLag1', 'CloseEMA8')",3,5482.714789270003
"('CloseLag1', 'CloseLag3', 'CloseEMA8')",3,5482.714886925423
"('OMCLag1', 'OMCLag3', 'VolumeLag2')",3,5482.7171539231595
"('OMCLag1', 'VolumeLag1', 'VolumeLag2')",3,5482.718403791457
"('HMLLag1', 'CloseEMA2', 'CloseEMA8')",3,5482.72110331942
"('HMLLag2', 'CloseEMA2', 'CloseEMA8')",3,5482.721790076489
"('HMLLag3', 'OMCLag1', 'VolumeLag1')",3,5482.7232048857495
"('HMLLag1', 'OMCLag1', 'VolumeLag1')",3,5482.724418279003
"('CloseLag2', 'HMLLag1', 'HMLLag3')",3,5482.724946780447
"('HMLLag2', 'OMCLag1', 'VolumeLag1')",3,5482.72524196308
"('HMLLag1', 'HMLLag3', 'CloseEMA2')",3,5482.725510221962
"('HMLLag3', 'OMCLag1', 'VolumeLag2')",3,5482.725794641939
"('CloseLag3', 'HMLLag1', 'HMLLag3')",3,5482.726907770897
"('CloseLag1', 'HMLLag1', 'HMLLag3')",3,5482.727090238644
"('HMLLag1', 'OMCLag1', 'VolumeLag2')",3,5482.728006538984
"('HMLLag2', 'OMCLag1', 'VolumeLag2')",3,5482.728092303755
"('HMLLag1', 'HMLLag3', 'CloseEMA4')",3,5482.728758816299
"('CloseLag1', 'CloseLag2', 'CloseEMA8')",3,5482.729432433853
"('CloseLag2', 'CloseLag3', 'CloseEMA8')",3,5482.730884909268
"('CloseLag3', 'HMLLag1', 'CloseEMA8')",3,5482.732704965943
"('HMLLag1', 'HMLLag3', 'CloseEMA8')",3,5482.734303287599
"('HMLLag1', 'OMCLag1', 'CloseEMA2')",3,5482.7345303744805
"('CloseLag1', 'HMLLag1', 'OMCLag1')",3,5482.734915159174
"('CloseLag2', 'HMLLag1', 'OMCLag1')",3,5482.73790142544
"('HMLLag1', 'OMCLag1', 'CloseEMA4')",3,5482.737951126366
"('CloseLag2', 'OMCLag1', 'CloseEMA8')",3,5482.738661117239
"('CloseLag3', 'HMLLag1', 'OMCLag1')",3,5482.739088823022
"('CloseLag2', 'HMLLag2', 'HMLLag3')",3,5482.740694897126
"('HMLLag2', 'HMLLag3', 'CloseEMA2')",3,5482.740938309503
"('CloseLag2', 'HMLLag3', 'VolumeLag3')",3,5482.742347176271
